[10:16:38]	INFO    | Creating GLFW Window
[10:16:41]	SUCCESS | Loaded texture "Assets/none.png"
[10:16:41]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[10:16:41]	SUCCESS | Vertex Shader ->	Successfully compiled
[10:16:41]	SUCCESS | Fragment Shader ->	Successfully compiled
[10:16:41]	SUCCESS | Shader program ->	Successfully linked
[10:16:41]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[10:16:41]	SUCCESS | Vertex Shader ->	Successfully compiled
[10:16:41]	SUCCESS | Fragment Shader ->	Successfully compiled
[10:16:41]	SUCCESS | Shader program ->	Successfully linked
[10:16:41]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[10:16:44]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[10:16:44]	SUCCESS | Vertex Shader ->	Successfully compiled
[10:16:44]	SUCCESS | Fragment Shader ->	Successfully compiled
[10:16:44]	SUCCESS | Shader program ->	Successfully linked
[10:16:44]	INFO    | + Loading Game Object "Button_01"
[10:16:44]	INFO    | +	 Adding transform data to new gameObject
[10:16:44]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[10:16:44]	SUCCESS | Vertex Shader ->	Successfully compiled
[10:16:44]	SUCCESS | Fragment Shader ->	Successfully compiled
[10:16:44]	SUCCESS | Shader program ->	Successfully linked
[10:16:44]	INFO    | +	 Adding Sprite to new gameObject
[10:16:44]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[10:16:44]	INFO    | +	 Adding button script to new gameObject
[10:16:44]	INFO    | +	 Adding box collider 2D to new gameObject
[10:16:44]	        |
[10:16:44]	        |------------------------------------------------------------------------
[10:16:44]	        |
[10:16:44]	INFO    | + Loading Game Object "Button_02"
[10:16:44]	INFO    | +	 Adding transform data to new gameObject
[10:16:44]	INFO    | +	 Adding Sprite to new gameObject
[10:16:44]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[10:16:44]	INFO    | +	 Adding button script to new gameObject
[10:16:44]	INFO    | +	 Adding box collider 2D to new gameObject
[10:16:44]	        |
[10:16:44]	        |------------------------------------------------------------------------
[10:16:44]	        |
[10:16:44]	INFO    | + Loading Game Object "Button_03"
[10:16:44]	INFO    | +	 Adding transform data to new gameObject
[10:16:44]	INFO    | +	 Adding Sprite to new gameObject
[10:16:44]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[10:16:44]	INFO    | +	 Adding button script to new gameObject
[10:16:44]	INFO    | +	 Adding box collider 2D to new gameObject
[10:16:44]	        |
[10:16:44]	        |------------------------------------------------------------------------
[10:16:44]	        |
[10:16:44]	INFO    | + Loading Game Object "Button_04"
[10:16:44]	INFO    | +	 Adding transform data to new gameObject
[10:16:44]	INFO    | +	 Adding Sprite to new gameObject
[10:16:44]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[10:16:44]	INFO    | +	 Adding button script to new gameObject
[10:16:44]	INFO    | +	 Adding box collider 2D to new gameObject
[10:16:44]	        |
[10:16:44]	        |------------------------------------------------------------------------
[10:16:44]	        |
[10:16:44]	        |
[10:16:44]	        |------------------------------------------------------------------------
[10:16:44]	        |
[10:16:44]	SUCCESS | Successfully loaded a new scene
[10:16:44]	        |
[10:16:44]	        |------------------------------------------------------------------------
[10:16:44]	        |
[10:17:04]	INFO    | + Loading Game Object "Wall_SciFi_01"
[10:17:04]	INFO    | +	 Adding transform data to new gameObject
[10:17:04]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[10:17:04]	SUCCESS | Vertex Shader ->	Successfully compiled
[10:17:04]	SUCCESS | Fragment Shader ->	Successfully compiled
[10:17:04]	SUCCESS | Shader program ->	Successfully linked
[10:17:04]	INFO    | +	 Adding Model to new gameObject
[10:17:04]	INFO    | +		 Loading new OBJ file
[10:17:04]	        |
[10:17:04]	        |------------------------------------------------------------------------
[10:17:04]	        |
[10:17:04]	SUCCESS | Opened file "Assets/scifi_01.obj"
[10:17:04]	SUCCESS | Opened file "Assets/scifi_01.mtl"
[10:17:12]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_albedo.png"
[10:17:19]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_normal.png"
[10:17:19]	SUCCESS | Opened file "Assets/scifi_01.mtl"
[10:17:19]	INFO    | +	 Adding box collider 3D to new gameObject
[10:17:19]	        |
[10:17:19]	        |------------------------------------------------------------------------
[10:17:19]	        |
[10:17:19]	INFO    | + Loading Game Object "Wall_SciFi_011"
[10:17:19]	INFO    | +	 Adding transform data to new gameObject
[10:17:19]	INFO    | +	 Adding Model to new gameObject
[10:17:19]	        |
[10:17:19]	        |------------------------------------------------------------------------
[10:17:19]	        |
[10:17:19]	INFO    | +	 Adding box collider 3D to new gameObject
[10:17:19]	        |
