[09:56:22]	INFO    | Creating GLFW Window
[09:56:26]	SUCCESS | Loaded texture "Assets/none.png"
[09:56:26]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[09:56:26]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:56:26]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:56:26]	SUCCESS | Shader program ->	Successfully linked
[09:56:26]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[09:56:26]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:56:26]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:56:26]	SUCCESS | Shader program ->	Successfully linked
[09:56:26]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[09:56:36]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[09:56:36]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:56:36]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:56:36]	SUCCESS | Shader program ->	Successfully linked
[09:56:36]	INFO    | + Loading Game Object "Button_01"
[09:56:36]	INFO    | +	 Adding transform data to new gameObject
[09:56:36]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[09:56:36]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:56:36]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:56:36]	SUCCESS | Shader program ->	Successfully linked
[09:56:36]	INFO    | +	 Adding Sprite to new gameObject
[09:56:36]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[09:56:36]	INFO    | +	 Adding button script to new gameObject
[09:56:36]	INFO    | +	 Adding box collider 2D to new gameObject
[09:56:36]	        |
[09:56:36]	        |------------------------------------------------------------------------
[09:56:36]	        |
[09:56:36]	INFO    | + Loading Game Object "Button_02"
[09:56:36]	INFO    | +	 Adding transform data to new gameObject
[09:56:36]	INFO    | +	 Adding Sprite to new gameObject
[09:56:36]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[09:56:36]	INFO    | +	 Adding button script to new gameObject
[09:56:36]	INFO    | +	 Adding box collider 2D to new gameObject
[09:56:36]	        |
[09:56:36]	        |------------------------------------------------------------------------
[09:56:36]	        |
[09:56:36]	INFO    | + Loading Game Object "Button_03"
[09:56:36]	INFO    | +	 Adding transform data to new gameObject
[09:56:36]	INFO    | +	 Adding Sprite to new gameObject
[09:56:37]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[09:56:37]	INFO    | +	 Adding button script to new gameObject
[09:56:37]	INFO    | +	 Adding box collider 2D to new gameObject
[09:56:37]	        |
[09:56:37]	        |------------------------------------------------------------------------
[09:56:37]	        |
[09:56:37]	INFO    | + Loading Game Object "Button_04"
[09:56:37]	INFO    | +	 Adding transform data to new gameObject
[09:56:37]	INFO    | +	 Adding Sprite to new gameObject
[09:56:37]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[09:56:37]	INFO    | +	 Adding button script to new gameObject
[09:56:37]	INFO    | +	 Adding box collider 2D to new gameObject
[09:56:37]	        |
[09:56:37]	        |------------------------------------------------------------------------
[09:56:37]	        |
[09:56:37]	        |
[09:56:37]	        |------------------------------------------------------------------------
[09:56:37]	        |
[09:56:37]	SUCCESS | Successfully loaded a new scene
[09:56:37]	        |
[09:56:37]	        |------------------------------------------------------------------------
[09:56:37]	        |
[09:57:12]	INFO    | + Loading Game Object "Wall_SciFi_01"
[09:57:12]	INFO    | +	 Adding transform data to new gameObject
[09:57:12]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[09:57:12]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:57:12]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:57:12]	SUCCESS | Shader program ->	Successfully linked
[09:57:12]	INFO    | +	 Adding Model to new gameObject
[09:57:12]	INFO    | +		 Loading new OBJ file
[09:57:12]	        |
[09:57:12]	        |------------------------------------------------------------------------
[09:57:12]	        |
[09:57:12]	SUCCESS | Opened file "Assets/scifi_01.obj"
[09:57:12]	SUCCESS | Opened file "Assets/scifi_01.mtl"
[09:57:20]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_albedo.png"
[09:57:26]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_normal.png"
[09:57:26]	SUCCESS | Opened file "Assets/scifi_01.mtl"
[09:57:26]	INFO    | +	 Adding box collider 3D to new gameObject
[09:57:26]	        |
[09:57:26]	        |------------------------------------------------------------------------
[09:57:26]	        |
[09:57:26]	INFO    | + Loading Game Object "Wall_SciFi_011"
[09:57:26]	INFO    | +	 Adding transform data to new gameObject
[09:57:26]	INFO    | +	 Adding Model to new gameObject
[09:57:26]	        |
[09:57:26]	        |------------------------------------------------------------------------
[09:57:26]	        |
[09:57:26]	INFO    | +	 Adding box collider 3D to new gameObject
[09:57:26]	        |
[09:57:26]	        |------------------------------------------------------------------------
[09:57:26]	        |
[09:57:26]	INFO    | + Loading Game Object "Wall_SciFi_012"
[09:57:26]	INFO    | +	 Adding transform data to new gameObject
[09:57:26]	INFO    | +	 Adding Model to new gameObject
[09:57:26]	        |
[09:57:26]	        |------------------------------------------------------------------------
[09:57:26]	        |
[09:57:26]	INFO    | +	 Adding box collider 3D to new gameObject
[09:57:26]	        |
[09:57:26]	        |------------------------------------------------------------------------
[09:57:26]	        |
[09:57:26]	INFO    | + Loading Game Object "Wall_SciFi_013"
[09:57:26]	INFO    | +	 Adding transform data to new gameObject
[09:57:26]	INFO    | +	 Adding Model to new gameObject
[09:57:26]	        |
[09:57:26]	        |------------------------------------------------------------------------
[09:57:26]	        |
[09:57:26]	INFO    | +	 Adding box collider 3D to new gameObject
[09:57:26]	        |
[09:57:26]	        |------------------------------------------------------------------------
