[10:10:15]	INFO    | Creating GLFW Window
[10:10:20]	INFO    | Creating ResourcesManager
[10:10:20]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/abnes.ttf"
[10:10:20]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/arial.ttf"
[10:10:20]	SUCCESS | Loaded texture "Assets/none.png"
[10:10:20]	INFO    | + Loading Shaders "Resource/Shader/Text.shad"
[10:10:20]	SUCCESS | Vertex Shader ->	Successfully compiled
[10:10:20]	SUCCESS | Fragment Shader ->	Successfully compiled
[10:10:20]	SUCCESS | Shader program ->	Successfully linked
[10:10:20]	        |
[10:10:20]	        |------------------------------------------------------------------------
[10:10:20]	        |
[10:10:20]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[10:10:20]	SUCCESS | Vertex Shader ->	Successfully compiled
[10:10:20]	SUCCESS | Fragment Shader ->	Successfully compiled
[10:10:20]	SUCCESS | Shader program ->	Successfully linked
[10:10:20]	        |
[10:10:20]	        |------------------------------------------------------------------------
[10:10:20]	        |
[10:10:20]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[10:10:20]	SUCCESS | Vertex Shader ->	Successfully compiled
[10:10:20]	SUCCESS | Fragment Shader ->	Successfully compiled
[10:10:20]	SUCCESS | Shader program ->	Successfully linked
[10:10:20]	        |
[10:10:20]	        |------------------------------------------------------------------------
[10:10:20]	        |
[10:10:20]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[10:10:22]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[10:10:22]	SUCCESS | Vertex Shader ->	Successfully compiled
[10:10:22]	SUCCESS | Fragment Shader ->	Successfully compiled
[10:10:22]	SUCCESS | Shader program ->	Successfully linked
[10:10:22]	        |
[10:10:22]	        |------------------------------------------------------------------------
[10:10:22]	        |
[10:10:22]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[10:10:22]	SUCCESS | Vertex Shader ->	Successfully compiled
[10:10:22]	SUCCESS | Fragment Shader ->	Successfully compiled
[10:10:22]	SUCCESS | Shader program ->	Successfully linked
[10:10:22]	        |
[10:10:22]	        |------------------------------------------------------------------------
[10:10:22]	        |
[10:10:22]	SUCCESS | Loaded texture "Assets/Loading.png"
