[11:25:24]	INFO    | Creating GLFW Window
[11:25:26]	SUCCESS | Loaded texture "Assets/none.png"
[11:25:26]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[11:25:26]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:25:26]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:25:26]	SUCCESS | Shader program ->	Successfully linked
[11:25:26]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[11:25:26]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:25:26]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:25:26]	SUCCESS | Shader program ->	Successfully linked
[11:25:26]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[11:25:28]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[11:25:28]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:25:28]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:25:28]	SUCCESS | Shader program ->	Successfully linked
[11:25:28]	INFO    | + Loading Game Object "Button_01"
[11:25:28]	INFO    | +	 Adding transform data to new gameObject
[11:25:28]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[11:25:28]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:25:28]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:25:28]	SUCCESS | Shader program ->	Successfully linked
[11:25:28]	INFO    | +	 Adding Sprite to new gameObject
[11:25:28]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[11:25:28]	INFO    | +	 Adding button script to new gameObject
[11:25:28]	INFO    | +	 Adding box collider 2D to new gameObject
[11:25:28]	        |
[11:25:28]	        |------------------------------------------------------------------------
[11:25:28]	        |
[11:25:28]	INFO    | + Loading Game Object "Button_02"
[11:25:28]	INFO    | +	 Adding transform data to new gameObject
[11:25:28]	INFO    | +	 Adding Sprite to new gameObject
[11:25:29]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[11:25:29]	INFO    | +	 Adding button script to new gameObject
[11:25:29]	INFO    | +	 Adding box collider 2D to new gameObject
[11:25:29]	        |
[11:25:29]	        |------------------------------------------------------------------------
[11:25:29]	        |
[11:25:29]	INFO    | + Loading Game Object "Button_03"
[11:25:29]	INFO    | +	 Adding transform data to new gameObject
[11:25:29]	INFO    | +	 Adding Sprite to new gameObject
[11:25:29]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[11:25:29]	INFO    | +	 Adding button script to new gameObject
[11:25:29]	INFO    | +	 Adding box collider 2D to new gameObject
[11:25:29]	        |
[11:25:29]	        |------------------------------------------------------------------------
[11:25:29]	        |
[11:25:29]	INFO    | + Loading Game Object "Button_04"
[11:25:29]	INFO    | +	 Adding transform data to new gameObject
[11:25:29]	INFO    | +	 Adding Sprite to new gameObject
[11:25:29]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[11:25:29]	INFO    | +	 Adding button script to new gameObject
[11:25:29]	INFO    | +	 Adding box collider 2D to new gameObject
