[09:35:05]	INFO    | Creating GLFW Window
[09:35:08]	SUCCESS | Loaded texture "Assets/none.png"
[09:35:08]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[09:35:08]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:35:08]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:35:08]	SUCCESS | Shader program ->	Successfully linked
[09:35:08]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[09:35:08]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:35:08]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:35:08]	SUCCESS | Shader program ->	Successfully linked
[09:35:08]	ERROR   | Failed to open file "Assets/defaultCubeMap.cubemap"
[09:35:08]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[09:35:08]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:35:08]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:35:08]	SUCCESS | Shader program ->	Successfully linked
[09:35:08]	INFO    | + Loading Game Object "BackGroung"
[09:35:08]	INFO    | +	 Adding transform data to new gameObject
[09:35:08]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[09:35:08]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:35:08]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:35:08]	SUCCESS | Shader program ->	Successfully linked
[09:35:08]	INFO    | +	 Adding Sprite to new gameObject
[09:35:08]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[09:35:08]	        |
[09:35:08]	        |------------------------------------------------------------------------
[09:35:08]	        |
[09:35:08]	INFO    | + Loading Game Object "Button_01"
[09:35:08]	INFO    | +	 Adding transform data to new gameObject
[09:35:08]	INFO    | +	 Adding Sprite to new gameObject
[09:35:08]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[09:35:08]	INFO    | +	 Adding button script to new gameObject
[09:35:08]	INFO    | +	 Adding box collider 2D to new gameObject
[09:35:08]	        |
[09:35:08]	        |------------------------------------------------------------------------
[09:35:08]	        |
[09:35:08]	INFO    | + Loading Game Object "Button_02"
[09:35:08]	INFO    | +	 Adding transform data to new gameObject
[09:35:08]	INFO    | +	 Adding Sprite to new gameObject
[09:35:08]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[09:35:08]	INFO    | +	 Adding button script to new gameObject
[09:35:08]	INFO    | +	 Adding box collider 2D to new gameObject
[09:35:08]	        |
[09:35:08]	        |------------------------------------------------------------------------
[09:35:08]	        |
[09:35:08]	INFO    | + Loading Game Object "Button_03"
[09:35:08]	INFO    | +	 Adding transform data to new gameObject
[09:35:08]	INFO    | +	 Adding Sprite to new gameObject
[09:35:08]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[09:35:08]	INFO    | +	 Adding button script to new gameObject
[09:35:08]	INFO    | +	 Adding box collider 2D to new gameObject
[09:35:08]	        |
[09:35:08]	        |------------------------------------------------------------------------
[09:35:08]	        |
[09:35:08]	INFO    | + Loading Game Object "Loading"
[09:35:08]	INFO    | +	 Adding transform data to new gameObject
[09:35:08]	INFO    | +	 Adding Sprite to new gameObject
[09:35:08]	SUCCESS | Loaded texture "Assets/Loading.png"
[09:35:08]	        |
[09:35:08]	        |------------------------------------------------------------------------
[09:35:08]	        |
[09:35:08]	INFO    | + Loading Game Object "Loading"
[09:35:08]	INFO    | +	 Adding transform data to new gameObject
[09:35:08]	INFO    | +	 Adding Sprite to new gameObject
[09:35:08]	        |
[09:35:08]	        |------------------------------------------------------------------------
[09:35:08]	        |
[09:35:08]	INFO    | +	 Transform parent found
[09:35:08]	INFO    | +	 Transform parent found
[09:35:08]	        |
[09:35:08]	        |------------------------------------------------------------------------
[09:35:08]	        |
[09:35:08]	SUCCESS | Successfully loaded a new scene
[09:35:08]	        |
[09:35:08]	        |------------------------------------------------------------------------
[09:35:08]	        |
[09:38:07]	INFO    | + Loading Game Object "PlatformGround"
[09:38:07]	INFO    | +	 Adding transform data to new gameObject
[09:38:07]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[09:38:07]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:38:07]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:38:07]	SUCCESS | Shader program ->	Successfully linked
[09:38:07]	INFO    | +	 Adding Model to new gameObject
[09:38:07]	INFO    | +		 Loading new OBJ file
[09:38:07]	        |
[09:38:07]	        |------------------------------------------------------------------------
[09:38:07]	        |
[09:38:07]	SUCCESS | Loaded file "Assets/wallrock.obj"
[09:38:07]	SUCCESS | Loaded file "Assets/wallrock.mtl"
[09:38:12]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[09:38:12]	ERROR   | Failed to open file "0"
[09:38:12]	INFO    | +	 Adding box collider 3D to new gameObject
[09:38:12]	        |
[09:38:12]	        |------------------------------------------------------------------------
[09:38:12]	        |
[09:38:12]	INFO    | + Loading Game Object "Platform2"
[09:38:12]	INFO    | +	 Adding transform data to new gameObject
[09:38:12]	INFO    | +	 Adding Model to new gameObject
[09:38:12]	        |
[09:38:12]	        |------------------------------------------------------------------------
[09:38:12]	        |
[09:38:12]	INFO    | +	 Adding box collider 3D to new gameObject
[09:38:12]	        |
[09:38:12]	        |------------------------------------------------------------------------
[09:38:12]	        |
[09:38:12]	INFO    | + Loading Game Object "Platform3"
[09:38:12]	INFO    | +	 Adding transform data to new gameObject
[09:38:12]	INFO    | +	 Adding Model to new gameObject
[09:38:12]	INFO    | +		 Loading new OBJ file
[09:38:12]	        |
[09:38:12]	        |------------------------------------------------------------------------
[09:38:12]	        |
[09:38:12]	SUCCESS | Loaded file "Assets/dirt.obj"
[09:38:12]	SUCCESS | Loaded file "Assets/dirt.mtl"
[09:38:15]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[09:38:15]	INFO    | +	 Adding box collider 3D to new gameObject
[09:38:15]	        |
[09:38:15]	        |------------------------------------------------------------------------
[09:38:15]	        |
[09:38:15]	INFO    | + Loading Game Object "Platform4"
[09:38:15]	INFO    | +	 Adding transform data to new gameObject
[09:38:15]	INFO    | +	 Adding Model to new gameObject
[09:38:15]	        |
[09:38:15]	        |------------------------------------------------------------------------
[09:38:15]	        |
[09:38:15]	INFO    | +	 Adding box collider 3D to new gameObject
[09:38:15]	        |
[09:38:15]	        |------------------------------------------------------------------------
[09:38:15]	        |
[09:38:15]	INFO    | + Loading Game Object "Platform5"
[09:38:15]	INFO    | +	 Adding transform data to new gameObject
[09:38:15]	INFO    | +	 Adding Model to new gameObject
[09:38:15]	        |
[09:38:15]	        |------------------------------------------------------------------------
[09:38:15]	        |
[09:38:15]	INFO    | +	 Adding box collider 3D to new gameObject
[09:38:15]	        |
[09:38:15]	        |------------------------------------------------------------------------
[09:38:15]	        |
[09:38:15]	INFO    | + Loading Game Object "Wall_SciFi_01"
[09:38:15]	INFO    | +	 Adding transform data to new gameObject
[09:38:15]	INFO    | +	 Adding Model to new gameObject
[09:38:15]	INFO    | +		 Loading new OBJ file
[09:38:15]	        |
[09:38:15]	        |------------------------------------------------------------------------
[09:38:15]	        |
[09:38:15]	SUCCESS | Loaded file "Assets/scifi_01.obj"
[09:38:15]	SUCCESS | Loaded file "Assets/scifi_01.mtl"
