[14:12:24]	INFO    | Creating GLFW Window
[14:12:28]	INFO    | Creating ResourcesManager
[14:12:28]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/abnes.ttf"
[14:12:28]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/arial.ttf"
[14:12:28]	SUCCESS | Loaded texture "Assets/none.png"
[14:12:28]	INFO    | + Loading Shaders "Resource/Shader/Text.shad"
[14:12:28]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:12:28]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:12:28]	SUCCESS | Shader program ->	Successfully linked
[14:12:28]	        |
[14:12:28]	        |------------------------------------------------------------------------
[14:12:28]	        |
[14:12:28]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[14:12:28]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:12:28]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:12:28]	SUCCESS | Shader program ->	Successfully linked
[14:12:28]	        |
[14:12:28]	        |------------------------------------------------------------------------
[14:12:28]	        |
[14:12:28]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[14:12:28]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:12:28]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:12:28]	SUCCESS | Shader program ->	Successfully linked
[14:12:28]	        |
[14:12:28]	        |------------------------------------------------------------------------
[14:12:28]	        |
[14:12:28]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[14:12:29]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[14:12:29]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:12:29]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:12:29]	SUCCESS | Shader program ->	Successfully linked
[14:12:29]	        |
[14:12:29]	        |------------------------------------------------------------------------
[14:12:29]	        |
[14:12:29]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[14:12:29]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:12:29]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:12:29]	SUCCESS | Shader program ->	Successfully linked
[14:12:29]	        |
[14:12:29]	        |------------------------------------------------------------------------
[14:12:29]	        |
[14:12:29]	SUCCESS | Loaded texture "Assets/Loading.png"
[14:12:29]	INFO    | + Loading Game Object "Button_01"
[14:12:29]	INFO    | +	 Adding transform data to new gameObject
[14:12:29]	INFO    | +	 Adding Sprite to new gameObject
[14:12:29]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[14:12:29]	INFO    | +	 Adding button script to new gameObject
[14:12:29]	INFO    | +	 Adding box collider 2D to new gameObject
[14:12:29]	        |
[14:12:29]	        |------------------------------------------------------------------------
[14:12:29]	        |
[14:12:29]	INFO    | + Loading Game Object "Button_02"
[14:12:29]	INFO    | +	 Adding transform data to new gameObject
[14:12:29]	INFO    | +	 Adding Sprite to new gameObject
[14:12:29]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[14:12:29]	INFO    | +	 Adding button script to new gameObject
[14:12:29]	INFO    | +	 Adding box collider 2D to new gameObject
[14:12:29]	        |
[14:12:29]	        |------------------------------------------------------------------------
[14:12:29]	        |
[14:12:29]	INFO    | + Loading Game Object "Button_03"
[14:12:29]	INFO    | +	 Adding transform data to new gameObject
[14:12:29]	INFO    | +	 Adding Sprite to new gameObject
[14:12:29]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[14:12:29]	INFO    | +	 Adding button script to new gameObject
[14:12:29]	INFO    | +	 Adding box collider 2D to new gameObject
[14:12:29]	        |
[14:12:29]	        |------------------------------------------------------------------------
[14:12:29]	        |
[14:12:29]	INFO    | + Loading Game Object "Button_04"
[14:12:29]	INFO    | +	 Adding transform data to new gameObject
[14:12:29]	INFO    | +	 Adding Sprite to new gameObject
[14:12:30]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[14:12:30]	INFO    | +	 Adding button script to new gameObject
[14:12:30]	INFO    | +	 Adding box collider 2D to new gameObject
[14:12:30]	        |
[14:12:30]	        |------------------------------------------------------------------------
[14:12:30]	        |
[14:12:30]	        |
[14:12:30]	        |------------------------------------------------------------------------
[14:12:30]	        |
[14:12:30]	SUCCESS | Successfully loaded a new scene
[14:12:30]	        |
[14:12:30]	        |------------------------------------------------------------------------
[14:12:30]	        |
[14:12:31]	INFO    | + Loading Game Object "DirtBlock"
[14:12:31]	INFO    | +	 Adding transform data to new gameObject
[14:12:31]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[14:12:31]	SUCCESS | Vertex Shader ->	Successfully compiled
[14:12:31]	SUCCESS | Fragment Shader ->	Successfully compiled
[14:12:31]	SUCCESS | Shader program ->	Successfully linked
[14:12:31]	        |
[14:12:31]	        |------------------------------------------------------------------------
[14:12:31]	        |
[14:12:31]	INFO    | +	 Adding Model to new gameObject
[14:12:31]	INFO    | +		 Loading new OBJ file
[14:12:31]	        |
[14:12:31]	        |------------------------------------------------------------------------
[14:12:31]	        |
[14:12:31]	SUCCESS | Opened file "Assets/wallrock.obj"
[14:12:31]	SUCCESS | Opened file "Assets/wallrock.mtl"
[14:12:32]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[14:12:32]	SUCCESS | Opened file "Assets/dirt.mtl"
[14:12:33]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[14:12:33]	INFO    | +	 Adding box collider 3D to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	INFO    | + Loading Game Object "StoneWall_1"
[14:12:33]	INFO    | +	 Adding transform data to new gameObject
[14:12:33]	INFO    | +	 Adding Model to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	SUCCESS | Opened file "Assets/wallrock.mtl"
[14:12:33]	INFO    | +	 Adding box collider 3D to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	INFO    | + Loading Game Object "StoneWall_2"
[14:12:33]	INFO    | +	 Adding transform data to new gameObject
[14:12:33]	INFO    | +	 Adding Model to new gameObject
[14:12:33]	INFO    | +		 Loading new OBJ file
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	SUCCESS | Opened file "Assets/dirt.obj"
[14:12:33]	SUCCESS | Opened file "Assets/dirt.mtl"
[14:12:33]	INFO    | +	 Adding box collider 3D to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	INFO    | + Loading Game Object "SCIFI_Ground_0"
[14:12:33]	INFO    | +	 Adding transform data to new gameObject
[14:12:33]	INFO    | +	 Adding Model to new gameObject
[14:12:33]	INFO    | +		 Loading new OBJ file
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	SUCCESS | Opened file "Assets/scifi_05.obj"
[14:12:33]	SUCCESS | Opened file "Assets/scifi_05.mtl"
[14:12:33]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Concrete_DamagedPaint2_1K_albedo.png"
[14:12:33]	SUCCESS | Opened file "Assets/scifi_05.mtl"
[14:12:33]	INFO    | +	 Adding box collider 3D to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	INFO    | + Loading Game Object "SCIFI_Ground_1"
[14:12:33]	INFO    | +	 Adding transform data to new gameObject
[14:12:33]	INFO    | +	 Adding Model to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	INFO    | +	 Adding box collider 3D to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	INFO    | + Loading Game Object "SCIFI_Ground_2"
[14:12:33]	INFO    | +	 Adding transform data to new gameObject
[14:12:33]	INFO    | +	 Adding Model to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	INFO    | +	 Adding box collider 3D to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	INFO    | + Loading Game Object "SCIFI_Ground_3"
[14:12:33]	INFO    | +	 Adding transform data to new gameObject
[14:12:33]	INFO    | +	 Adding Model to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	INFO    | +	 Adding box collider 3D to new gameObject
[14:12:33]	        |
[14:12:33]	        |------------------------------------------------------------------------
[14:12:33]	        |
[14:12:33]	INFO    | + Loading Game Object "SCIFI_Ground_4"
[14:12:33]	INFO    | +	 Adding transform data to new gameObject
[14:12:33]	INFO    | +	 Adding Model to new gameObject
