[15:20:04]	INFO    | Creating GLFW Window
[15:20:06]	INFO    | Creating ResourcesManager
[15:20:06]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/abnes.ttf"
[15:20:06]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/arial.ttf"
[15:20:06]	SUCCESS | Loaded texture "Assets/none.png"
[15:20:06]	INFO    | + Loading Shaders "Resource/Shader/Text.shad"
[15:20:06]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:20:06]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:20:06]	SUCCESS | Shader program ->	Successfully linked
[15:20:06]	        |
[15:20:06]	        |------------------------------------------------------------------------
[15:20:06]	        |
[15:20:06]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[15:20:06]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:20:06]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:20:06]	SUCCESS | Shader program ->	Successfully linked
[15:20:06]	        |
[15:20:06]	        |------------------------------------------------------------------------
[15:20:06]	        |
[15:20:06]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[15:20:06]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:20:06]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:20:06]	SUCCESS | Shader program ->	Successfully linked
[15:20:06]	        |
[15:20:06]	        |------------------------------------------------------------------------
[15:20:06]	        |
[15:20:06]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[15:20:07]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[15:20:07]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:20:07]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:20:07]	SUCCESS | Shader program ->	Successfully linked
[15:20:07]	        |
[15:20:07]	        |------------------------------------------------------------------------
[15:20:07]	        |
[15:20:07]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[15:20:07]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:20:07]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:20:07]	SUCCESS | Shader program ->	Successfully linked
[15:20:07]	        |
[15:20:07]	        |------------------------------------------------------------------------
[15:20:07]	        |
[15:20:07]	SUCCESS | Loaded texture "Assets/Loading.png"
[15:20:07]	INFO    | + Loading Game Object "Button_01"
[15:20:07]	INFO    | +	 Adding transform data to new gameObject
[15:20:07]	INFO    | +	 Adding Sprite to new gameObject
[15:20:07]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[15:20:07]	INFO    | +	 Adding button script to new gameObject
[15:20:07]	INFO    | +	 Adding box collider 2D to new gameObject
[15:20:07]	        |
[15:20:07]	        |------------------------------------------------------------------------
[15:20:07]	        |
[15:20:07]	INFO    | + Loading Game Object "Button_02"
[15:20:07]	INFO    | +	 Adding transform data to new gameObject
[15:20:07]	INFO    | +	 Adding Sprite to new gameObject
[15:20:07]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[15:20:07]	INFO    | +	 Adding button script to new gameObject
[15:20:07]	INFO    | +	 Adding box collider 2D to new gameObject
[15:20:07]	        |
[15:20:07]	        |------------------------------------------------------------------------
[15:20:07]	        |
[15:20:07]	INFO    | + Loading Game Object "Button_03"
[15:20:07]	INFO    | +	 Adding transform data to new gameObject
[15:20:07]	INFO    | +	 Adding Sprite to new gameObject
[15:20:07]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[15:20:07]	INFO    | +	 Adding button script to new gameObject
[15:20:07]	INFO    | +	 Adding box collider 2D to new gameObject
[15:20:07]	        |
[15:20:07]	        |------------------------------------------------------------------------
[15:20:07]	        |
[15:20:07]	INFO    | + Loading Game Object "Button_04"
[15:20:07]	INFO    | +	 Adding transform data to new gameObject
[15:20:07]	INFO    | +	 Adding Sprite to new gameObject
[15:20:07]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[15:20:07]	INFO    | +	 Adding button script to new gameObject
[15:20:07]	INFO    | +	 Adding box collider 2D to new gameObject
[15:20:07]	        |
[15:20:07]	        |------------------------------------------------------------------------
[15:20:07]	        |
[15:20:07]	        |
[15:20:07]	        |------------------------------------------------------------------------
[15:20:07]	        |
[15:20:07]	SUCCESS | Successfully loaded a new scene
[15:20:07]	        |
[15:20:07]	        |------------------------------------------------------------------------
[15:20:07]	        |
[15:20:10]	INFO    | + Loading Game Object "DirtBlock"
[15:20:10]	INFO    | +	 Adding transform data to new gameObject
[15:20:10]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[15:20:10]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:20:10]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:20:10]	SUCCESS | Shader program ->	Successfully linked
[15:20:10]	        |
[15:20:10]	        |------------------------------------------------------------------------
[15:20:10]	        |
[15:20:10]	INFO    | +	 Adding Model to new gameObject
[15:20:10]	INFO    | +		 Loading new OBJ file
[15:20:10]	        |
[15:20:10]	        |------------------------------------------------------------------------
[15:20:10]	        |
[15:20:10]	SUCCESS | Opened file "Assets/wallrock.obj"
[15:20:10]	SUCCESS | Opened file "Assets/wallrock.mtl"
[15:20:11]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[15:20:12]	SUCCESS | Opened file "Assets/dirt.mtl"
[15:20:12]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[15:20:12]	INFO    | +	 Adding box collider 3D to new gameObject
[15:20:12]	        |
[15:20:12]	        |------------------------------------------------------------------------
[15:20:12]	        |
[15:20:12]	INFO    | + Loading Game Object "StoneWall_1"
[15:20:12]	INFO    | +	 Adding transform data to new gameObject
[15:20:12]	INFO    | +	 Adding Model to new gameObject
[15:20:12]	        |
[15:20:12]	        |------------------------------------------------------------------------
[15:20:12]	        |
[15:20:12]	SUCCESS | Opened file "Assets/wallrock.mtl"
[15:20:12]	INFO    | +	 Adding box collider 3D to new gameObject
[15:20:12]	        |
[15:20:12]	        |------------------------------------------------------------------------
[15:20:12]	        |
[15:20:12]	INFO    | + Loading Game Object "StoneWall_2"
[15:20:12]	INFO    | +	 Adding transform data to new gameObject
[15:20:12]	INFO    | +	 Adding Model to new gameObject
[15:20:12]	INFO    | +		 Loading new OBJ file
[15:20:12]	        |
[15:20:12]	        |------------------------------------------------------------------------
[15:20:12]	        |
[15:20:12]	SUCCESS | Opened file "Assets/dirt.obj"
[15:20:12]	SUCCESS | Opened file "Assets/dirt.mtl"
[15:20:12]	INFO    | +	 Adding box collider 3D to new gameObject
[15:20:12]	        |
[15:20:12]	        |------------------------------------------------------------------------
[15:20:12]	        |
[15:20:12]	INFO    | + Loading Game Object "SCIFI_Ground_0"
[15:20:12]	INFO    | +	 Adding transform data to new gameObject
[15:20:12]	INFO    | +	 Adding Model to new gameObject
[15:20:12]	INFO    | +		 Loading new OBJ file
[15:20:12]	        |
[15:20:12]	        |------------------------------------------------------------------------
[15:20:12]	        |
[15:20:12]	SUCCESS | Opened file "Assets/scifi_05.obj"
[15:20:12]	SUCCESS | Opened file "Assets/scifi_05.mtl"
[15:20:12]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Concrete_DamagedPaint2_1K_albedo.png"
[15:20:12]	SUCCESS | Opened file "Assets/scifi_05.mtl"
[15:20:12]	INFO    | +	 Adding box collider 3D to new gameObject
[15:20:12]	        |
[15:20:13]	        |------------------------------------------------------------------------
[15:20:13]	        |
[15:20:13]	INFO    | + Loading Game Object "SCIFI_Ground_1"
[15:20:13]	INFO    | +	 Adding transform data to new gameObject
[15:20:13]	INFO    | +	 Adding Model to new gameObject
[15:20:13]	        |
[15:20:13]	        |------------------------------------------------------------------------
[15:20:13]	        |
[15:20:13]	INFO    | +	 Adding box collider 3D to new gameObject
[15:20:13]	        |
[15:20:13]	        |------------------------------------------------------------------------
[15:20:13]	        |
[15:20:13]	INFO    | + Loading Game Object "SCIFI_Ground_2"
[15:20:13]	INFO    | +	 Adding transform data to new gameObject
[15:20:13]	INFO    | +	 Adding Model to new gameObject
[15:20:13]	        |
[15:20:13]	        |------------------------------------------------------------------------
[15:20:13]	        |
[15:20:13]	INFO    | +	 Adding box collider 3D to new gameObject
[15:20:13]	        |
[15:20:13]	        |------------------------------------------------------------------------
[15:20:13]	        |
[15:20:13]	INFO    | + Loading Game Object "SCIFI_Ground_3"
[15:20:13]	INFO    | +	 Adding transform data to new gameObject
[15:20:13]	INFO    | +	 Adding Model to new gameObject
[15:20:13]	        |
[15:20:13]	        |------------------------------------------------------------------------
[15:20:13]	        |
[15:20:13]	INFO    | +	 Adding box collider 3D to new gameObject
[15:20:13]	        |
[15:20:13]	        |------------------------------------------------------------------------
[15:20:13]	        |
[15:20:13]	INFO    | + Loading Game Object "SCIFI_Ground_4"
[15:20:13]	INFO    | +	 Adding transform data to new gameObject
[15:20:13]	INFO    | +	 Adding Model to new gameObject
