[15:16:12]	INFO    | Creating GLFW Window
[15:16:13]	INFO    | Creating ResourcesManager
[15:16:14]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/abnes.ttf"
[15:16:14]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/arial.ttf"
[15:16:14]	SUCCESS | Loaded texture "Assets/none.png"
[15:16:14]	INFO    | + Loading Shaders "Resource/Shader/Text.shad"
[15:16:14]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:16:14]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:16:14]	SUCCESS | Shader program ->	Successfully linked
[15:16:14]	        |
[15:16:14]	        |------------------------------------------------------------------------
[15:16:14]	        |
[15:16:14]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[15:16:14]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:16:14]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:16:14]	SUCCESS | Shader program ->	Successfully linked
[15:16:14]	        |
[15:16:14]	        |------------------------------------------------------------------------
[15:16:14]	        |
[15:16:14]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[15:16:14]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:16:14]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:16:14]	SUCCESS | Shader program ->	Successfully linked
[15:16:14]	        |
[15:16:14]	        |------------------------------------------------------------------------
[15:16:14]	        |
[15:16:14]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[15:16:14]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[15:16:14]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:16:14]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:16:14]	SUCCESS | Shader program ->	Successfully linked
[15:16:14]	        |
[15:16:14]	        |------------------------------------------------------------------------
[15:16:14]	        |
[15:16:14]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[15:16:14]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:16:14]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:16:14]	SUCCESS | Shader program ->	Successfully linked
[15:16:14]	        |
[15:16:14]	        |------------------------------------------------------------------------
[15:16:14]	        |
[15:16:14]	SUCCESS | Loaded texture "Assets/Loading.png"
[15:16:14]	INFO    | + Loading Game Object "Button_01"
[15:16:15]	INFO    | +	 Adding transform data to new gameObject
[15:16:15]	INFO    | +	 Adding Sprite to new gameObject
[15:16:15]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[15:16:15]	INFO    | +	 Adding button script to new gameObject
[15:16:15]	INFO    | +	 Adding box collider 2D to new gameObject
[15:16:15]	        |
[15:16:15]	        |------------------------------------------------------------------------
[15:16:15]	        |
[15:16:15]	INFO    | + Loading Game Object "Button_02"
[15:16:15]	INFO    | +	 Adding transform data to new gameObject
[15:16:15]	INFO    | +	 Adding Sprite to new gameObject
[15:16:15]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[15:16:15]	INFO    | +	 Adding button script to new gameObject
[15:16:15]	INFO    | +	 Adding box collider 2D to new gameObject
[15:16:15]	        |
[15:16:15]	        |------------------------------------------------------------------------
[15:16:15]	        |
[15:16:15]	INFO    | + Loading Game Object "Button_03"
[15:16:15]	INFO    | +	 Adding transform data to new gameObject
[15:16:15]	INFO    | +	 Adding Sprite to new gameObject
[15:16:15]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[15:16:15]	INFO    | +	 Adding button script to new gameObject
[15:16:15]	INFO    | +	 Adding box collider 2D to new gameObject
[15:16:15]	        |
[15:16:15]	        |------------------------------------------------------------------------
[15:16:15]	        |
[15:16:15]	INFO    | + Loading Game Object "Button_04"
[15:16:15]	INFO    | +	 Adding transform data to new gameObject
[15:16:15]	INFO    | +	 Adding Sprite to new gameObject
[15:16:15]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[15:16:15]	INFO    | +	 Adding button script to new gameObject
[15:16:15]	INFO    | +	 Adding box collider 2D to new gameObject
[15:16:15]	        |
[15:16:15]	        |------------------------------------------------------------------------
[15:16:15]	        |
[15:16:15]	        |
[15:16:15]	        |------------------------------------------------------------------------
[15:16:15]	        |
[15:16:15]	SUCCESS | Successfully loaded a new scene
[15:16:15]	        |
[15:16:15]	        |------------------------------------------------------------------------
[15:16:15]	        |
[15:16:17]	INFO    | + Loading Game Object "DirtBlock"
[15:16:17]	INFO    | +	 Adding transform data to new gameObject
[15:16:17]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[15:16:17]	SUCCESS | Vertex Shader ->	Successfully compiled
[15:16:17]	SUCCESS | Fragment Shader ->	Successfully compiled
[15:16:17]	SUCCESS | Shader program ->	Successfully linked
[15:16:17]	        |
[15:16:17]	        |------------------------------------------------------------------------
[15:16:17]	        |
[15:16:17]	INFO    | +	 Adding Model to new gameObject
[15:16:17]	INFO    | +		 Loading new OBJ file
[15:16:17]	        |
[15:16:17]	        |------------------------------------------------------------------------
[15:16:17]	        |
[15:16:17]	SUCCESS | Opened file "Assets/wallrock.obj"
[15:16:17]	SUCCESS | Opened file "Assets/wallrock.mtl"
[15:16:18]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[15:16:18]	SUCCESS | Opened file "Assets/dirt.mtl"
[15:16:19]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[15:16:19]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | + Loading Game Object "StoneWall_1"
[15:16:19]	INFO    | +	 Adding transform data to new gameObject
[15:16:19]	INFO    | +	 Adding Model to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	SUCCESS | Opened file "Assets/wallrock.mtl"
[15:16:19]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | + Loading Game Object "StoneWall_2"
[15:16:19]	INFO    | +	 Adding transform data to new gameObject
[15:16:19]	INFO    | +	 Adding Model to new gameObject
[15:16:19]	INFO    | +		 Loading new OBJ file
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	SUCCESS | Opened file "Assets/dirt.obj"
[15:16:19]	SUCCESS | Opened file "Assets/dirt.mtl"
[15:16:19]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | + Loading Game Object "SCIFI_Ground_0"
[15:16:19]	INFO    | +	 Adding transform data to new gameObject
[15:16:19]	INFO    | +	 Adding Model to new gameObject
[15:16:19]	INFO    | +		 Loading new OBJ file
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	SUCCESS | Opened file "Assets/scifi_05.obj"
[15:16:19]	SUCCESS | Opened file "Assets/scifi_05.mtl"
[15:16:19]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Concrete_DamagedPaint2_1K_albedo.png"
[15:16:19]	SUCCESS | Opened file "Assets/scifi_05.mtl"
[15:16:19]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | + Loading Game Object "SCIFI_Ground_1"
[15:16:19]	INFO    | +	 Adding transform data to new gameObject
[15:16:19]	INFO    | +	 Adding Model to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | + Loading Game Object "SCIFI_Ground_2"
[15:16:19]	INFO    | +	 Adding transform data to new gameObject
[15:16:19]	INFO    | +	 Adding Model to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | + Loading Game Object "SCIFI_Ground_3"
[15:16:19]	INFO    | +	 Adding transform data to new gameObject
[15:16:19]	INFO    | +	 Adding Model to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | + Loading Game Object "SCIFI_Ground_4"
[15:16:19]	INFO    | +	 Adding transform data to new gameObject
[15:16:19]	INFO    | +	 Adding Model to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | + Loading Game Object "SCIFI_Ground_5"
[15:16:19]	INFO    | +	 Adding transform data to new gameObject
[15:16:19]	INFO    | +	 Adding Model to new gameObject
[15:16:19]	        |
[15:16:19]	        |------------------------------------------------------------------------
[15:16:19]	        |
[15:16:19]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:20]	        |
[15:16:20]	        |------------------------------------------------------------------------
[15:16:20]	        |
[15:16:20]	INFO    | + Loading Game Object "SCIFI_Plate_0"
[15:16:20]	INFO    | +	 Adding transform data to new gameObject
[15:16:20]	INFO    | +	 Adding Model to new gameObject
[15:16:20]	INFO    | +		 Loading new OBJ file
[15:16:20]	        |
[15:16:20]	        |------------------------------------------------------------------------
[15:16:20]	        |
[15:16:20]	SUCCESS | Opened file "Assets/scifi_01.obj"
[15:16:20]	SUCCESS | Opened file "Assets/scifi_01.mtl"
[15:16:21]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_albedo.png"
[15:16:23]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_normal.png"
[15:16:23]	SUCCESS | Opened file "Assets/scifi_01.mtl"
[15:16:23]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:23]	        |
[15:16:23]	        |------------------------------------------------------------------------
[15:16:23]	        |
[15:16:23]	INFO    | + Loading Game Object "SCIFI_Plate_1"
[15:16:23]	INFO    | +	 Adding transform data to new gameObject
[15:16:23]	INFO    | +	 Adding Model to new gameObject
[15:16:23]	        |
[15:16:23]	        |------------------------------------------------------------------------
[15:16:23]	        |
[15:16:23]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:23]	        |
[15:16:23]	        |------------------------------------------------------------------------
[15:16:23]	        |
[15:16:23]	INFO    | + Loading Game Object "SCIFI_Plate_2"
[15:16:23]	INFO    | +	 Adding transform data to new gameObject
[15:16:23]	INFO    | +	 Adding Model to new gameObject
[15:16:23]	        |
[15:16:23]	        |------------------------------------------------------------------------
[15:16:23]	        |
[15:16:23]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:23]	        |
[15:16:23]	        |------------------------------------------------------------------------
[15:16:23]	        |
[15:16:23]	INFO    | + Loading Game Object "SCIFI_Plate_4"
[15:16:23]	INFO    | +	 Adding transform data to new gameObject
[15:16:23]	INFO    | +	 Adding Model to new gameObject
[15:16:23]	        |
[15:16:23]	        |------------------------------------------------------------------------
[15:16:23]	        |
[15:16:23]	INFO    | +	 Adding box collider 3D to new gameObject
[15:16:23]	        |
[15:16:23]	        |------------------------------------------------------------------------
[15:16:23]	        |
