[09:29:26]	INFO    | Creating GLFW Window
[09:29:29]	SUCCESS | Loaded texture "Assets/none.png"
[09:29:29]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[09:29:29]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:29:29]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:29:29]	SUCCESS | Shader program ->	Successfully linked
[09:29:29]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[09:29:29]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:29:29]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:29:29]	SUCCESS | Shader program ->	Successfully linked
[09:29:29]	ERROR   | Failed to open file "Assets/defaultCubeMap.cubemap"
[09:29:29]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[09:29:29]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:29:29]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:29:29]	SUCCESS | Shader program ->	Successfully linked
[09:29:29]	INFO    | + Loading Game Object "BackGroung"
[09:29:29]	INFO    | +	 Adding transform data to new gameObject
[09:29:29]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[09:29:29]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:29:29]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:29:29]	SUCCESS | Shader program ->	Successfully linked
[09:29:29]	INFO    | +	 Adding Sprite to new gameObject
[09:29:29]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[09:29:29]	        |
[09:29:29]	        |------------------------------------------------------------------------
[09:29:29]	        |
[09:29:29]	INFO    | + Loading Game Object "Button_01"
[09:29:29]	INFO    | +	 Adding transform data to new gameObject
[09:29:29]	INFO    | +	 Adding Sprite to new gameObject
[09:29:29]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[09:29:30]	INFO    | +	 Adding button script to new gameObject
[09:29:30]	INFO    | +	 Adding box collider 2D to new gameObject
[09:29:30]	        |
[09:29:30]	        |------------------------------------------------------------------------
[09:29:30]	        |
[09:29:30]	INFO    | + Loading Game Object "Button_02"
[09:29:30]	INFO    | +	 Adding transform data to new gameObject
[09:29:30]	INFO    | +	 Adding Sprite to new gameObject
[09:29:30]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[09:29:30]	INFO    | +	 Adding button script to new gameObject
[09:29:30]	INFO    | +	 Adding box collider 2D to new gameObject
[09:29:30]	        |
[09:29:30]	        |------------------------------------------------------------------------
[09:29:30]	        |
[09:29:30]	INFO    | + Loading Game Object "Button_03"
[09:29:30]	INFO    | +	 Adding transform data to new gameObject
[09:29:30]	INFO    | +	 Adding Sprite to new gameObject
