[11:50:41]	INFO    | Creating GLFW Window
[11:50:44]	INFO    | Creating ResourcesManager
[11:50:44]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/abnes.ttf"
[11:50:44]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/arial.ttf"
[11:50:44]	SUCCESS | Loaded texture "Assets/none.png"
[11:50:44]	INFO    | + Loading Shaders "Resource/Shader/Text.shad"
[11:50:44]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:50:44]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:50:44]	SUCCESS | Shader program ->	Successfully linked
[11:50:44]	        |
[11:50:44]	        |------------------------------------------------------------------------
[11:50:44]	        |
[11:50:44]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[11:50:44]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:50:44]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:50:44]	SUCCESS | Shader program ->	Successfully linked
[11:50:44]	        |
[11:50:44]	        |------------------------------------------------------------------------
[11:50:44]	        |
[11:50:44]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[11:50:44]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:50:44]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:50:44]	SUCCESS | Shader program ->	Successfully linked
[11:50:44]	        |
[11:50:44]	        |------------------------------------------------------------------------
[11:50:44]	        |
[11:50:44]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[11:50:45]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[11:50:45]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:50:45]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:50:45]	SUCCESS | Shader program ->	Successfully linked
[11:50:45]	        |
[11:50:45]	        |------------------------------------------------------------------------
[11:50:45]	        |
[11:50:45]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[11:50:45]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:50:45]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:50:45]	SUCCESS | Shader program ->	Successfully linked
[11:50:45]	        |
[11:50:45]	        |------------------------------------------------------------------------
[11:50:45]	        |
[11:50:45]	SUCCESS | Loaded texture "Assets/Loading.png"
[11:50:45]	INFO    | + Loading Game Object "Button_01"
[11:50:45]	INFO    | +	 Adding transform data to new gameObject
[11:50:45]	INFO    | +	 Adding Sprite to new gameObject
[11:50:45]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[11:50:45]	INFO    | +	 Adding button script to new gameObject
[11:50:45]	INFO    | +	 Adding box collider 2D to new gameObject
[11:50:45]	        |
[11:50:45]	        |------------------------------------------------------------------------
[11:50:45]	        |
[11:50:45]	INFO    | + Loading Game Object "Button_02"
[11:50:45]	INFO    | +	 Adding transform data to new gameObject
[11:50:45]	INFO    | +	 Adding Sprite to new gameObject
[11:50:45]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[11:50:45]	INFO    | +	 Adding button script to new gameObject
[11:50:45]	INFO    | +	 Adding box collider 2D to new gameObject
[11:50:45]	        |
[11:50:45]	        |------------------------------------------------------------------------
[11:50:45]	        |
[11:50:45]	INFO    | + Loading Game Object "Button_03"
[11:50:45]	INFO    | +	 Adding transform data to new gameObject
[11:50:45]	INFO    | +	 Adding Sprite to new gameObject
[11:50:45]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[11:50:45]	INFO    | +	 Adding button script to new gameObject
[11:50:45]	INFO    | +	 Adding box collider 2D to new gameObject
[11:50:46]	        |
[11:50:46]	        |------------------------------------------------------------------------
[11:50:46]	        |
[11:50:46]	INFO    | + Loading Game Object "Button_04"
[11:50:46]	INFO    | +	 Adding transform data to new gameObject
[11:50:46]	INFO    | +	 Adding Sprite to new gameObject
[11:50:46]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[11:50:46]	INFO    | +	 Adding button script to new gameObject
[11:50:46]	INFO    | +	 Adding box collider 2D to new gameObject
[11:50:46]	        |
[11:50:46]	        |------------------------------------------------------------------------
[11:50:46]	        |
[11:50:46]	        |
[11:50:46]	        |------------------------------------------------------------------------
[11:50:46]	        |
[11:50:46]	SUCCESS | Successfully loaded a new scene
[11:50:46]	        |
[11:50:46]	        |------------------------------------------------------------------------
