[09:34:36]	SUCCESS | Loaded texture "Assets/none.png"
[09:34:36]	ERROR   | Failed to open file "".
[09:34:36]	INFO    | - Unloading scene
[09:34:36]	        |
[09:34:36]	        |------------------------------------------------------------------------
[09:34:36]	        |
[09:34:36]	ERROR   | Failed to load scene
[09:34:39]	INFO    | + Loading Game Object "BackGroung"
[09:34:39]	INFO    | +	 Adding transform data to new gameObject
[09:34:39]	INFO    | +	 Adding Sprite to new gameObject
[09:34:39]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[09:34:39]	SUCCESS | Vertex shader ->	Successfully compiled
[09:34:39]	SUCCESS | Fragment shader ->	Successfully compiled
[09:34:39]	SUCCESS | Shader program ->	Successfully linked
[09:34:39]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[09:34:39]	        |
[09:34:39]	        |------------------------------------------------------------------------
[09:34:39]	        |
[09:34:39]	INFO    | + Loading Game Object "Button_01"
[09:34:39]	INFO    | +	 Adding transform data to new gameObject
[09:34:39]	INFO    | +	 Adding Sprite to new gameObject
[09:34:39]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[09:34:39]	INFO    | +	 Adding button script to new gameObject
[09:34:39]	INFO    | +	 Adding box collider 2D to new gameObject
[09:34:39]	        |
[09:34:39]	        |------------------------------------------------------------------------
[09:34:39]	        |
[09:34:39]	INFO    | + Loading Game Object "Button_02"
[09:34:39]	INFO    | +	 Adding transform data to new gameObject
[09:34:39]	INFO    | +	 Adding Sprite to new gameObject
[09:34:39]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[09:34:39]	INFO    | +	 Adding button script to new gameObject
[09:34:39]	INFO    | +	 Adding box collider 2D to new gameObject
[09:34:39]	        |
[09:34:39]	        |------------------------------------------------------------------------
[09:34:39]	        |
[09:34:39]	INFO    | + Loading Game Object "Button_03"
[09:34:39]	INFO    | +	 Adding transform data to new gameObject
[09:34:39]	INFO    | +	 Adding Sprite to new gameObject
[09:34:39]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[09:34:39]	INFO    | +	 Adding button script to new gameObject
[09:34:39]	INFO    | +	 Adding box collider 2D to new gameObject
[09:34:39]	        |
[09:34:39]	        |------------------------------------------------------------------------
[09:34:39]	        |
[09:34:39]	INFO    | + Loading Game Object "Loading"
[09:34:39]	INFO    | +	 Adding transform data to new gameObject
[09:34:39]	INFO    | +	 Adding Sprite to new gameObject
[09:34:39]	SUCCESS | Loaded texture "Assets/Loading.png"
[09:34:39]	        |
[09:34:39]	        |------------------------------------------------------------------------
[09:34:39]	        |
[09:34:39]	INFO    | + Loading Game Object "Loading"
[09:34:39]	INFO    | +	 Adding transform data to new gameObject
[09:34:39]	INFO    | +	 Adding Sprite to new gameObject
