[11:20:40]	INFO    | Creating GLFW Window
[11:20:42]	SUCCESS | Loaded texture "Assets/none.png"
[11:20:42]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[11:20:42]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:20:42]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:20:42]	SUCCESS | Shader program ->	Successfully linked
[11:20:42]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[11:20:42]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:20:42]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:20:42]	SUCCESS | Shader program ->	Successfully linked
[11:20:42]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[11:20:45]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[11:20:45]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:20:45]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:20:45]	SUCCESS | Shader program ->	Successfully linked
[11:20:45]	INFO    | + Loading Game Object "Button_01"
[11:20:45]	INFO    | +	 Adding transform data to new gameObject
[11:20:45]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[11:20:45]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:20:45]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:20:45]	SUCCESS | Shader program ->	Successfully linked
[11:20:45]	INFO    | +	 Adding Sprite to new gameObject
[11:20:45]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[11:20:45]	INFO    | +	 Adding button script to new gameObject
[11:20:45]	INFO    | +	 Adding box collider 2D to new gameObject
[11:20:45]	        |
[11:20:45]	        |------------------------------------------------------------------------
[11:20:45]	        |
[11:20:45]	INFO    | + Loading Game Object "Button_02"
[11:20:45]	INFO    | +	 Adding transform data to new gameObject
[11:20:45]	INFO    | +	 Adding Sprite to new gameObject
[11:20:45]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[11:20:45]	INFO    | +	 Adding button script to new gameObject
[11:20:45]	INFO    | +	 Adding box collider 2D to new gameObject
[11:20:45]	        |
[11:20:45]	        |------------------------------------------------------------------------
[11:20:45]	        |
[11:20:45]	INFO    | + Loading Game Object "Button_03"
[11:20:45]	INFO    | +	 Adding transform data to new gameObject
[11:20:45]	INFO    | +	 Adding Sprite to new gameObject
[11:20:45]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[11:20:45]	INFO    | +	 Adding button script to new gameObject
[11:20:45]	INFO    | +	 Adding box collider 2D to new gameObject
[11:20:45]	        |
[11:20:45]	        |------------------------------------------------------------------------
[11:20:45]	        |
[11:20:45]	INFO    | + Loading Game Object "Button_04"
[11:20:45]	INFO    | +	 Adding transform data to new gameObject
[11:20:45]	INFO    | +	 Adding Sprite to new gameObject
[11:20:45]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[11:20:45]	INFO    | +	 Adding button script to new gameObject
[11:20:45]	INFO    | +	 Adding box collider 2D to new gameObject
[11:20:45]	        |
[11:20:45]	        |------------------------------------------------------------------------
[11:20:45]	        |
[11:20:45]	        |
[11:20:45]	        |------------------------------------------------------------------------
[11:20:45]	        |
[11:20:45]	SUCCESS | Successfully loaded a new scene
[11:20:45]	        |
[11:20:45]	        |------------------------------------------------------------------------
[11:20:45]	        |
[11:20:46]	INFO    | + Loading Game Object "Wall_SciFi_01"
[11:20:46]	INFO    | +	 Adding transform data to new gameObject
[11:20:46]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[11:20:46]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:20:46]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:20:46]	SUCCESS | Shader program ->	Successfully linked
[11:20:46]	INFO    | +	 Adding Model to new gameObject
[11:20:46]	INFO    | +		 Loading new OBJ file
[11:20:46]	        |
[11:20:46]	        |------------------------------------------------------------------------
[11:20:46]	        |
[11:20:46]	SUCCESS | Opened file "Assets/scifi_01.obj"
[11:20:46]	SUCCESS | Opened file "Assets/scifi_01.mtl"
[11:20:54]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_albedo.png"
[11:21:01]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_normal.png"
[11:21:01]	SUCCESS | Opened file "Assets/scifi_01.mtl"
[11:21:01]	INFO    | +	 Adding box collider 3D to new gameObject
[11:21:01]	        |
[11:21:01]	        |------------------------------------------------------------------------
[11:21:01]	        |
[11:21:01]	INFO    | + Loading Game Object "Wall_SciFi_011"
[11:21:01]	INFO    | +	 Adding transform data to new gameObject
[11:21:01]	INFO    | +	 Adding Model to new gameObject
