[15:07:55]	SUCCESS | Opened file "Assets/dirt.mtl"
[15:07:55]	INFO    | +	 Adding box collider 3D to new gameObject
[15:07:55]	        |
[15:07:55]	        |------------------------------------------------------------------------
[15:07:55]	        |
[15:07:55]	INFO    | + Loading Game Object "SCIFI_Ground_0"
[15:07:55]	INFO    | +	 Adding transform data to new gameObject
[15:07:55]	INFO    | +	 Adding Model to new gameObject
[15:07:55]	INFO    | +		 Loading new OBJ file
[15:07:55]	        |
[15:07:55]	        |------------------------------------------------------------------------
[15:07:55]	        |
[15:07:55]	SUCCESS | Opened file "Assets/scifi_05.obj"
[15:07:55]	SUCCESS | Opened file "Assets/scifi_05.mtl"
[15:07:55]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Concrete_DamagedPaint2_1K_albedo.png"
[15:07:56]	SUCCESS | Opened file "Assets/scifi_05.mtl"
[15:07:56]	INFO    | +	 Adding box collider 3D to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | + Loading Game Object "SCIFI_Ground_1"
[15:07:56]	INFO    | +	 Adding transform data to new gameObject
[15:07:56]	INFO    | +	 Adding Model to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | +	 Adding box collider 3D to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | + Loading Game Object "SCIFI_Ground_2"
[15:07:56]	INFO    | +	 Adding transform data to new gameObject
[15:07:56]	INFO    | +	 Adding Model to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | +	 Adding box collider 3D to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | + Loading Game Object "SCIFI_Ground_3"
[15:07:56]	INFO    | +	 Adding transform data to new gameObject
[15:07:56]	INFO    | +	 Adding Model to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | +	 Adding box collider 3D to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | + Loading Game Object "SCIFI_Ground_4"
[15:07:56]	INFO    | +	 Adding transform data to new gameObject
[15:07:56]	INFO    | +	 Adding Model to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | +	 Adding box collider 3D to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | + Loading Game Object "SCIFI_Ground_5"
[15:07:56]	INFO    | +	 Adding transform data to new gameObject
[15:07:56]	INFO    | +	 Adding Model to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | +	 Adding box collider 3D to new gameObject
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	INFO    | + Loading Game Object "SCIFI_Plate_0"
[15:07:56]	INFO    | +	 Adding transform data to new gameObject
[15:07:56]	INFO    | +	 Adding Model to new gameObject
[15:07:56]	INFO    | +		 Loading new OBJ file
[15:07:56]	        |
[15:07:56]	        |------------------------------------------------------------------------
[15:07:56]	        |
[15:07:56]	SUCCESS | Opened file "Assets/scifi_01.obj"
[15:07:56]	SUCCESS | Opened file "Assets/scifi_01.mtl"
[15:07:58]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_albedo.png"
