[13:50:32]	INFO    | Creating GLFW Window
[13:50:35]	INFO    | Creating ResourcesManager
[13:50:35]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/abnes.ttf"
[13:50:35]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/arial.ttf"
[13:50:35]	SUCCESS | Loaded texture "Assets/none.png"
[13:50:35]	INFO    | + Loading Shaders "Resource/Shader/Text.shad"
[13:50:35]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:50:35]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:50:35]	SUCCESS | Shader program ->	Successfully linked
[13:50:35]	        |
[13:50:35]	        |------------------------------------------------------------------------
[13:50:35]	        |
[13:50:35]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[13:50:35]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:50:35]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:50:35]	SUCCESS | Shader program ->	Successfully linked
[13:50:35]	        |
[13:50:35]	        |------------------------------------------------------------------------
[13:50:35]	        |
[13:50:35]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[13:50:35]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:50:35]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:50:35]	SUCCESS | Shader program ->	Successfully linked
[13:50:35]	        |
[13:50:35]	        |------------------------------------------------------------------------
[13:50:35]	        |
[13:50:35]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[13:50:36]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[13:50:36]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:50:36]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:50:36]	SUCCESS | Shader program ->	Successfully linked
[13:50:36]	        |
[13:50:36]	        |------------------------------------------------------------------------
[13:50:36]	        |
[13:50:36]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[13:50:36]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:50:36]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:50:36]	SUCCESS | Shader program ->	Successfully linked
[13:50:36]	        |
[13:50:36]	        |------------------------------------------------------------------------
[13:50:36]	        |
[13:50:36]	SUCCESS | Loaded texture "Assets/Loading.png"
[13:50:36]	INFO    | + Loading Game Object "Button_01"
[13:50:36]	INFO    | +	 Adding transform data to new gameObject
[13:50:36]	INFO    | +	 Adding Sprite to new gameObject
[13:50:36]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[13:50:36]	INFO    | +	 Adding button script to new gameObject
[13:50:36]	INFO    | +	 Adding box collider 2D to new gameObject
[13:50:36]	        |
[13:50:36]	        |------------------------------------------------------------------------
[13:50:36]	        |
[13:50:36]	INFO    | + Loading Game Object "Button_02"
[13:50:36]	INFO    | +	 Adding transform data to new gameObject
[13:50:36]	INFO    | +	 Adding Sprite to new gameObject
[13:50:36]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[13:50:36]	INFO    | +	 Adding button script to new gameObject
[13:50:36]	INFO    | +	 Adding box collider 2D to new gameObject
[13:50:36]	        |
[13:50:36]	        |------------------------------------------------------------------------
[13:50:36]	        |
[13:50:36]	INFO    | + Loading Game Object "Button_03"
[13:50:36]	INFO    | +	 Adding transform data to new gameObject
[13:50:36]	INFO    | +	 Adding Sprite to new gameObject
[13:50:36]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[13:50:36]	INFO    | +	 Adding button script to new gameObject
[13:50:36]	INFO    | +	 Adding box collider 2D to new gameObject
[13:50:36]	        |
[13:50:36]	        |------------------------------------------------------------------------
[13:50:36]	        |
[13:50:36]	INFO    | + Loading Game Object "Button_04"
[13:50:36]	INFO    | +	 Adding transform data to new gameObject
[13:50:36]	INFO    | +	 Adding Sprite to new gameObject
[13:50:36]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[13:50:36]	INFO    | +	 Adding button script to new gameObject
[13:50:36]	INFO    | +	 Adding box collider 2D to new gameObject
[13:50:36]	        |
[13:50:36]	        |------------------------------------------------------------------------
[13:50:36]	        |
[13:50:36]	        |
[13:50:36]	        |------------------------------------------------------------------------
[13:50:36]	        |
[13:50:36]	SUCCESS | Successfully loaded a new scene
[13:50:36]	        |
[13:50:36]	        |------------------------------------------------------------------------
[13:50:36]	        |
[13:50:39]	INFO    | + Loading Game Object "DirtBlock"
[13:50:39]	INFO    | +	 Adding transform data to new gameObject
[13:50:39]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[13:50:39]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:50:39]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:50:39]	SUCCESS | Shader program ->	Successfully linked
[13:50:39]	        |
[13:50:39]	        |------------------------------------------------------------------------
[13:50:39]	        |
[13:50:39]	INFO    | +	 Adding Model to new gameObject
[13:50:39]	INFO    | +		 Loading new OBJ file
[13:50:39]	        |
[13:50:39]	        |------------------------------------------------------------------------
[13:50:39]	        |
[13:50:39]	SUCCESS | Opened file "Assets/wallrock.obj"
[13:50:39]	SUCCESS | Opened file "Assets/wallrock.mtl"
[13:50:40]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[13:50:40]	SUCCESS | Opened file "Assets/dirt.mtl"
